section;indicator_code;indicator_name;subsection;object_name;object_level;object_oktmo;object_okato;year;indicator_value;indicator_unit;comment;source;version_date;value_status
Расходы и потребление домашних хозяйств;Y477130025;Потребление продуктов питания в домашних хозяйствах;Овощи и бахчевые;Рязанская область;Регион;61000000;61000000;2023;121.279;В среднем на потребителя в год, килограммов;CD;Социальное положение и уровень жизни населения России 2025;v20260313;ok
Уровень жизни населения;Y477110072;Жилищный фонд: Всего;CD;Иркутская область;Регион;25000000;25000000;2001;49.0;Общая площадь жилых помещений, миллионов квадратных метров;В связи с отсутствием нормативно-правово;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Торговля и услуги населению;Y477110238;Объем коммунальных услуг: На душу населения;CD;Российская Федерация;Страна;00000000;00000000;2020;14435.1;Рублей;Данные за 2011‒2021 годы публикуются без;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Отдельные показатели деятельности предприятий и организаций промышленности по субъектам и федеральным округам российской федерации;Y477090015;Производство электроэнергии;CD;Пермский край;Регион;57000000;57000000;2018;32.668688;Миллиард киловатт-часов;CD;Промышленное производство в России 2023;v20260313;ok
Здравоохранение;Y477110337;Прерывание беременности (аборты): На 1000 женщин 15‒49 лет;CD;Краснодарский край;Регион;03000000;03000000;2016;19.0;ND;Данные за 2011‒2021 годы пересчитаны с у;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Услуги в области туризма;Y477080013;Индексы потребительских цен на услуги в сфере внутреннего и ;Услуги в сфере внутреннего туризма;Республика Карелия;Регион;86000000;86000000;2022;109.93;Декабрь к декабрю предыдущего года, в процентах;CD;Платное обслуживание населения в России 2023;v20260313;ok
Торговля и услуги населению;Y477110398;Структура оборота розничной торговли: Непродовольственные то;CD;Ямало-Ненецкий автономный округ;Регион;71900000;71140000;2024;51.4;В фактически действовавших ценах, в процентах от общего объема оборота розничной торговли субъекта Российской Федерации;2005 г. — данные по обороту розничной то;Регионы России. Социально-экономические показатели 2025;v20260313;ok
Основные фонды;Y477110029;Ввод в действие основных фондов;CD;Республика Адыгея;Регион;79000000;79000000;2006;3940.0;Миллионов рублей;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Наука и инновации;Y477110041;Внутренние текущие затраты на научные исследования и разрабо;CD;Пермский край;Регион;57000000;57000000;2011;1523.5;Миллионов рублей;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Денежные доходы населения и их использование;Y477130047;Структура денежных расходов и сбережений населения;Покупка товаров и оплата услуг;Алтайский край;Регион;01000000;01000000;2024;75.7;В процентах;CD;Социальное положение и уровень жизни населения России 2025;v20260313;ok
Инвестиции;Y477110107;Инвестиции в основной капитал;CD;Магаданская область;Регион;44000000;44000000;2013;37879.0;В фактически действовавших ценах, миллионов рублей;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Финансовые вложения организаций;Y477050023;Финансовые вложения организаций;В том числе: краткосроч-ные;Северо-Кавказский федеральный округ;Федеральный округ;00000000;00000000;2021;773092.0;В фактически действовавших ценах;CD;Инвестиции в России 2023;v20260313;ok
Информационные и коммуникационные технологии;Y477110163;Использование сети интернет населением: Население, использов;CD;Республика Хакасия;Регион;95000000;95000000;2015;43.2;По данным выборочного обследования населения по вопросам использования ИКТ, в процентах от общей численности населения соответствующего субъекта Российской Федерации;Выборочное обследование осуществляется с;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Образование;Y477110058;Выпуск обучающихся организациями, осуществляющих образовател;CD;Волгоградская область;Регион;18000000;18000000;2014;20.2;Тысяч человек;До 2016 г. — выпуск обучающихся государс;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Основные фонды;Y477110390;Степень износа основных фондов;CD;Российская Федерация;Страна;00000000;00000000;2017;50.9;На конец года, в процентах;По коммерческим организациям (без субъек;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Предоставление государственных услуг населению в области содействия занятости;Y477170043;Численность безработных, зарегистрированных в органах службы;Из них: городское население;Дальневосточный федеральный округ;Федеральный округ;00000000;00000000;2021;31604.0;По данным Роструда, человек;CD;Труд и занятость в России 2023;v20260313;ok
Субъекты малого и среднего предпринимательства — юридические лица;Y477060031;Оборот общественного питания средних предприятий;CD;Ивановская область;Регион;24000000;24000000;2013;-99999999.0;Миллиардов рублей;CD;Малое и среднее предпринимательство в России 2022;v20260313;no_data
Продажа отдельных видов продукции на внутреннем рынке российской федерации организациями-производителями и организациями оптовой торговли;Y477150023;Продажа газа горючего природного и попутного;CD;Иркутская область;Регион;25000000;25000000;2023;-77777777.0;Миллионов кубических метров;CD;Торговля в России 2025;v20260313;hidden
Условия труда, производственный травматизм;Y477170020;Удельный вес численности работников организаций в области ин;Занятые на работах с вредными и (или) опасными условиями труда;Вологодская область;Регион;19000000;19000000;2022;2.1;Без субъектов малого предпринимательства, в процентах от общей численности работников организаций в области информации и связи, на конец года;CD;Труд и занятость в России 2023;v20260313;ok
