section;indicator_code;indicator_name;subsection;object_name;object_level;object_oktmo;object_okato;year;indicator_value;indicator_unit;comment;source;version_date;value_status
Основные экономические показатели транспорта;Y477160004;Индексы тарифов на услуги пассажирского транспорта;CD;Оренбургская область;Регион;53000000;53000000;2010;104.7;Декабрь к декабрю предыдущего года, в процентах;CD;Транспорт в России 2022;v20260313;ok
Государственная поддержка субъектов малого и среднего предпринимательства;Y477060048;Объём субсидий, выделенный из федерального бюджета на госуда;CD;Республика Бурятия;Регион;81000000;81000000;2022;189068.0;Тысяч рублей;По данным Министерства экономического ра;Малое и среднее предпринимательство в России 2024;v20260313;ok
Здравоохранение;Y477110210;Мощность амбулаторно-поликлинических организаций: Всего;CD;Ненецкий автономный округ;Регион;11800000;11100000;2010;1.1;На конец года, тысяч посещений в смену;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Подготовка кадров;Y477170006;Обучение работников, замещавших государственные должности и ;В том числе по дополнительным профессиональным программам: профессиональной переподготовки;Свердловская область;Регион;65000000;65000000;2021;172.0;ND;CD;Труд и занятость в России 2023;v20260313;ok
Основные экономические показатели транспорта;Y477160008;Среднегодовая численность работников организаций по виду эко;Из них по отдельным видам экономической деятельности: железнодорож-ный транспорт: грузовые перевозки;Республика Бурятия;Регион;81000000;81000000;2020;3576.0;Человек;CD;Транспорт в России 2022;v20260313;ok
Труд;Y477110460;Численность муниципальных служащих органов местного самоупра;CD;Приволжский федеральный округ;Федеральный округ;00000000;00000000;2015;67798.0;Человек;Включая избирательные комиссии муниципал;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Транспорт;Y477110291;Отправление пассажиров железнодорожным транспортом общего по;CD;Курская область;Регион;38000000;38000000;2013;2529.0;Тысяч человек;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Строительство и рынок жилья;Y477030007;Ввод в действие жилых домов на 1000 человек населения;CD;Хабаровский край;Регион;08000000;08000000;2024;413.40560114750633;Квадратных метров общей площади;CD;Жилищное хозяйство в России 2025;v20260313;ok
Уровень благосостояния, социальное обеспечение и социальная помощь;Y477020022;Численность пенсионеров и средний размер назначенных пенсий ;Численность пенсионеров, тыс. человек: женщины;Российская Федерация;Страна;00000000;00000000;2022;27989.0;ND;По данным Пенсионного фонда Российской Ф;Женщины и мужчины России 2022;v20260313;ok
Основные показатели сельского хозяйства;Y477120028;Посевные площади овощей открытого грунта;CD;Центральный федеральный округ;Федеральный округ;00000000;00000000;2022;93.034254;В хозяйствах всех категорий, тысяч гектаров;Включая овощи закрытого грунта по хозяйс;Сельское хозяйство в России 2023;v20260313;ok
Кадры органов государственной власти;Y477020016;Численность женщин и мужчин, замещавших государственные долж;Государственные должности и должности государственной гражданской службы субъектов Российской Федерации: женщины;Российская Федерация;Страна;00000000;00000000;2022;73.3;ND;CD;Женщины и мужчины России 2024;v20260313;ok
Финансы;Y477110094;Задолженность по кредитам в иностранной валюте, предоставлен;CD;Республика Дагестан;Регион;82000000;82000000;2009;302.0;Исходя из местонахождения заемщиков, на начало года, миллионов рублей;По данным Банка России;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Строительные организации;Y477140049;Структура затрат на производство работ по виду экономической;Страховые взносы в Социальный фонд России (СФР), ФФОМС;Северо-Западный федеральный округ;Федеральный округ;00000000;00000000;2022;5.3222362339244365;В процентах от общего объема затрат;2005 г. — единый социальный налог, 2010‒;Строительство в России 2024;v20260313;ok
Транспорт;Y477110061;Грузооборот автомобильного транспорта организаций всех видов;CD;Ростовская область;Регион;60000000;60000000;2024;9871.0;Миллионов тонно-километров;По Российской Федерации — по юридическим;Регионы России. Социально-экономические показатели 2025;v20260313;ok
Инвестиции в основной капитал;Y477050022;Структура инвестиций в основной капитал по видам экономическ;В том числе по видам деятельности: деятельность по операциям с недвижимым имуществом;Республика Мордовия;Регион;89000000;89000000;2024;5.4;В процентах от общего объема инвестиций в основной капитал субъекта;Данные не публикуются в целях обеспечени;Инвестиции в России 2025;v20260313;ok
Валовой региональный продукт;Y477110431;Фактическое конечное потребление домашних хозяйств на террит;CD;Московская область;Регион;46000000;46000000;2015;2549966.0;В текущих рыночных ценах, миллионов рублей;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Кадры органов государственной власти;Y477020020;Численность женщин и мужчин, замещавших государственные долж;Исполнительная власть: женщины;Ивановская область;Регион;24000000;24000000;2022;85.9;ND;CD;Женщины и мужчины России 2024;v20260313;ok
Юридические услуги;Y477080057;Объем юридических услуг населению;CD;Северо-Кавказский федеральный округ;Федеральный округ;00000000;00000000;2022;4607.2161;Миллионов рублей;CD;Платное обслуживание населения в России 2023;v20260313;ok
Образование;Y477110436;Численность аспирантов;CD;Омская область;Регион;52000000;52000000;2019;901.0;На конец года, человек;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Цены и тарифы;Y477110393;Стоимость условного (минимального) набора продуктов питания:;CD;Самарская область;Регион;36000000;36000000;2021;97.0;На конец года, в процентах к среднероссийской стоимости;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Население;Y477110402;Суммарный коэффициент рождаемости;CD;Российская Федерация;Страна;00000000;00000000;2011;1.581;Число детей на 1 женщину;CD;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Инвестиции в основной капитал;Y477050020;Распределение инвестиций в основной капитал по отдельными фо;Российская;Республика Мордовия;Регион;89000000;89000000;2023;98.8;В процентах от общего объема инвестиций в основной капитал;CD;Инвестиции в России 2025;v20260313;ok
Внешняя торговля;Y477110038;Внешняя торговля со странами дальнего зарубежья: Экспорт;CD;Пермский край;Регион;57000000;57000000;2003;2123.1;В фактически действовавших ценах, миллионов долларов США;В связи с приостановкой публикации данны;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Сельское, лесное хозяйство, рыболовство и рыбоводство;Y477110417;Улов рыбы и добыча других водных биоресурсов;CD;Курская область;Регион;38000000;38000000;2023;19.0;Тонн;По данным Росрыболовства;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Состояние здоровья населения;Y477040012;Заболевания, осложнившие роды и послеродовой период;Нарушения родовой деятельности;Республика Саха (Якутия);Регион;98000000;98000000;2022;66.2;На 1000 родов;CD;Здравоохранение в России 2023;v20260313;ok
Цены и тарифы;Y477110135;Индексы цен производителей промышленных товаров по видам эко;CD;Забайкальский край;Регион;76000000;76000000;2007;112.9;Декабрь к декабрю предыдущего года, в процентах;В соответствии с ОКВЭД-2007. На товары, ;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Наука и инновации;Y477110310;Поступление патентных заявок и выдача патентов в России: Под;CD;Свердловская область;Регион;65000000;65000000;2002;241.0;Единиц;По данным Роспатента;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Основные показатели сельского хозяйства;Y477120025;Посевные площади всех сельскохозяйственных культур;CD;Кировская область;Регион;33000000;33000000;2019;825.128;В хозяйствах всех категорий, тысяч гектаров;CD;Сельское хозяйство в России 2023;v20260313;ok
Торговля и услуги населению;Y477110341;Продажа товаров на розничных рынках и ярмарках;CD;Нижегородская область;Регион;22000000;22000000;2024;40710.0;"В фактически действовавших ценах, миллионов рублей; для значений в целом по России: млрд руб";CD;Регионы России. Социально-экономические показатели 2025;v20260313;ok
Цены и тарифы;Y477110392;Стоимость условного (минимального) набора продуктов питания:;CD;Магаданская область;Регион;44000000;44000000;2012;107.4;На конец года, к декабрю предыдущего года, в процентах;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Сельское, лесное хозяйство, рыболовство и рыбоводство;Y477110285;Основные финансовые показатели организаций, осуществляющих д;CD;Республика Коми;Регион;87000000;87000000;2009;2.0;Миллионов рублей;По данным бухгалтерской отчетности, с 20;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Ввод в действие зданий и производственных мощностей;Y477140009;Ввод в действие зданий жилого и нежилого назначения;Общий строительный объем зданий, тыс. м3;Пермский край;Регион;57000000;57000000;2018;7317.6;ND;CD;Строительство в России 2022;v20260313;ok
Уровень жизни населения;Y477110330;Предоставление гражданам субсидий на оплату жилого помещения;CD;Пензенская область;Регион;56000000;56000000;2005;466.0;На конец отчетного периода, рублей;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Уровень жизни населения;Y477110374;Среднедушевые денежные доходы населения;CD;Иркутская область;Регион;25000000;25000000;2001;2879.0;В месяц, рублей;До 2013 г. расчеты произведены в соответ;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Здравоохранение;Y477110088;Заболеваемость на 1000 человек населения по основным классам;CD;Ханты-Мансийский автономный округ — Югра;Регион;71800000;71100000;2022;15.6;Зарегистрировано заболеваний у пациентов с диагнозом, установленным впервые в жизни;"По данным Минздрава России; Данные за 20";Регионы России. Социально-экономические показатели 2024;v20260313;ok
Участие в рабочей силе, занятость и безработица;Y477170018;Структура занятых по возрастным группам;В том числе в возрасте, лет: 50‒59;Российская Федерация;Страна;00000000;00000000;2024;21.188179277620428;В процентах;Данные за предыдущие годы опубликованы н;Труд и занятость в России 2025;v20260313;ok
Финансовые вложения организаций;Y477050023;Финансовые вложения организаций;В том числе: краткосроч-ные;Российская Федерация;Страна;00000000;00000000;2018;213867310.0;В фактически действовавших ценах;CD;Инвестиции в России 2023;v20260313;ok
Транспорт;Y477160005;Количество автозаправочных станций (АЗС) на автомобильных до;Всего;Северо-Западный федеральный округ;Федеральный округ;00000000;00000000;2018;2244.0;На конец года, штук;По данным Росавтодора и Росстата;Транспорт в России 2022;v20260313;ok
Основные экономические показатели по видам экономической деятельности;Y477150042;Уровень коммерческих и управленческих расходов организаций о;Деятельность предприятий общественного питания по обслуживанию торжественных мероприятий и прочим видам организации питания;Российская Федерация;Страна;00000000;00000000;2023;74.5;В процентах к валовой прибыли;По данным бухгалтерской отчетности. Без ;Торговля в России 2025;v20260313;ok
Труд;Y477110321;Потребность в работниках, заявленная работодателями в органы;CD;Российская Федерация;Страна;00000000;00000000;2008;894696.0;На конец года, человек;По данным Федеральной службы по труду и ;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Цены и тарифы;Y477110393;Стоимость условного (минимального) набора продуктов питания:;CD;Забайкальский край;Регион;76000000;76000000;2023;128.0;На конец года, в процентах к среднероссийской стоимости;CD;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Услуги почтовой связи и курьерские;Y477080037;Индексы физического объема услуг почтовой связи и курьерских;CD;Дальневосточный федеральный округ;Федеральный округ;00000000;00000000;2024;97.0;В процентах к предыдущему году;До 2017 года учитывались в составе услуг;Платное обслуживание населения в России 2025;v20260313;ok
Строительство;Y477110019;Ввод в действие зданий жилого и нежилого назначения: Общий с;CD;Новосибирская область;Регион;50000000;50000000;2014;18274.5;Тысяч кубических метров;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Продажа отдельных видов продукции на внутреннем рынке российской федерации организациями-производителями и организациями оптовой торговли;Y477150031;Продажа топлива дизельного;CD;Российская Федерация;Страна;00000000;00000000;2021;39480.6;Тысяч тонн;CD;Торговля в России 2023;v20260313;ok
Занятые;Y477100005;Структура занятых по возрастным группам;В том числе в возрасте, лет: 70 и старше;Севастополь;Регион;67000000;67000000;2021;0.7905027570707149;В процентах к итогу;CD;Рабочая сила, занятость и безработица в России 2022;v20260313;ok
Сельское, лесное хозяйство, рыболовство и рыбоводство;Y477110426;Урожайность льна-долгунца;CD;Брянская область;Регион;15000000;15000000;2015;13.7;В хозяйствах всех категорий, центнеров льноволокна с одного гектара убранной площади;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Финансы;Y477110099;Задолженность по кредитам в рублях, предоставленным кредитны;CD;Смоленская область;Регион;66000000;66000000;2010;5685.0;Исходя из местонахождения заемщиков, на начало года, миллионов рублей;По данным Банка России;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Занятые;Y477100005;Структура занятых по возрастным группам;В том числе в возрасте, лет: 40‒49;Республика Калмыкия;Регион;85000000;85000000;2023;23.764670289256376;В процентах к итогу;CD;Рабочая сила, занятость и безработица в России 2024;v20260313;ok
Строительство;Y477110495;Число зданий и сооружений, находящихся в незавершенном строи;CD;Северо-Кавказский федеральный округ;Федеральный округ;00000000;00000000;2007;4607.0;На конец года;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Сельское, лесное хозяйство, рыболовство и рыбоводство;Y477110303;Посевные площади овощей;CD;Республика Саха (Якутия);Регион;98000000;98000000;2019;1.363;В хозяйствах всех категорий, тысяч гектаров;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Уровень жизни населения;Y477110330;Предоставление гражданам субсидий на оплату жилого помещения;CD;Еврейская автономная область;Регион;99000000;99000000;2009;977.04;На конец отчетного периода, рублей;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Торговля и услуги населению;Y477110224;Оборот розничной торговли на душу населения;CD;Ненецкий автономный округ;Регион;11800000;11100000;2006;63279.533950912046;В фактически действовавших ценах, рублей;Данные за 2011‒2021 годы пересчитаны с у;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Транспорт;Y477110290;Отправление грузов железнодорожным транспортом общего пользо;CD;Ставропольский край;Регион;07000000;07000000;2016;7.3;Миллионов тонн;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Транспорт;Y477110291;Отправление пассажиров железнодорожным транспортом общего по;CD;Приволжский федеральный округ;Федеральный округ;00000000;00000000;2020;49844.0;Тысяч человек;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Юридические услуги;Y477080017;Индексы потребительских цен на услуги правового характера;CD;Российская Федерация;Страна;00000000;00000000;2010;112.0;Декабрь к декабрю предыдущего года, в процентах;CD;Платное обслуживание населения в России 2023;v20260313;ok
Занятость, безработица и заработная плата;Y477020014;Уровень безработицы женщин и мужчин в процентах;В трудоспособном возрасте: женщины;Приморский край;Регион;05000000;05000000;2023;2.645058450770922;ND;В таблице приведены данные по мужчинам в;Женщины и мужчины России 2024;v20260313;ok
Труд;Y477110464;Численность незанятых граждан, состоящих на учете в органах ;CD;Приволжский федеральный округ;Федеральный округ;00000000;00000000;2013;164.2;На конец года, тысяч человек;По данным Федеральной службы по труду и ;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Уровень жизни населения;Y477110209;Медианный среднедушевой денежный доход населения;CD;Белгородская область;Регион;14000000;14000000;2020;25874.7;В месяц, рублей;Оценка на основании данных выборочного о;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Основные экономические показатели транспорта;Y477160008;Среднегодовая численность работников организаций по виду эко;Из них по отдельным видам экономической деятельности: прочий сухопутный пассажирский транспорт;Мурманская область;Регион;47000000;47000000;2020;2849.0;Человек;CD;Транспорт в России 2022;v20260313;ok
Жилищное и социально-культурное строительство;Y477140017;Ввод в действие мощностей общеобразовательных организаций;CD;Чукотский автономный округ;Регион;77000000;77000000;2023;-77777777.0;Ученических мест;CD;Строительство в России 2024;v20260313;hidden
Инвестиции в основной капитал;Y477050021;Сведения о распределении договоров финансового лизинга по ме;В том числе лизинга: рабочего, продук-тивного и племенного стада;Чеченская Республика;Регион;96000000;96000000;2020;-77777777.0;Миллионов рублей;CD;Инвестиции в России 2023;v20260313;hidden
Уровень жизни населения;Y477110469;Численность пенсионеров: Всего;CD;Ямало-Ненецкий автономный округ;Регион;71900000;71140000;2025;149.0;Тысяч человек;По данным Фонда пенсионного и социальног;Регионы России. Социально-экономические показатели 2025;v20260313;ok
Субъекты малого и среднего предпринимательства — юридические лица;Y477060077;Средняя численность работников средних предприятий по виду э;CD;Республика Хакасия;Регион;95000000;95000000;2019;0.35053333333333336;Тысяч человек;CD;Малое и среднее предпринимательство в России 2022;v20260313;ok
Жилищное и социально-культурное строительство;Y477140017;Ввод в действие мощностей общеобразовательных организаций;CD;Архангельская область (с автономным округом);Регион;11000000;11000000;2011;376.0;Ученических мест;CD;Строительство в России 2022;v20260313;ok
Образование;Y477110486;Численность студентов, обучающихся по программам подготовки ;CD;Тверская область;Регион;28000000;28000000;2009;11.1;На конец года,тысяч человек;С 2011 г. — по данным Минпросвещения Рос;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Образование;Y477110476;Численность профессорско-преподавательского персонала, осуще;CD;Республика Мордовия;Регион;89000000;89000000;2021;1398.0;На начало учебного года, человек;До 2016/2017 учебного года — образовател;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Результаты инвестиционной деятельности;Y477050001;Ввод в действие автомобильных дорог с твердым покрытием;CD;Республика Саха (Якутия);Регион;98000000;98000000;2007;106.5;Километров;Включая ведомственные и частные дороги в;Инвестиции в России 2025;v20260313;ok
Промышленное производство;Y477110116;Индексы производства по виду экономической деятельности добы;CD;Москва;Регион;45000000;45000000;2001;105.0;В процентах к предыдущему году;Данные сформированы по полному кругу орг;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Условия труда, производственный травматизм;Y477170027;Удельный вес численности работников организаций транспортиро;Занятые на тяжелых работах;Севастополь;Регион;67000000;67000000;2021;33.4;Без субъектов малого предпринимательства, в процентах от общей численности работников организаций транспортировки и хранения, на конец года;CD;Труд и занятость в России 2023;v20260313;ok
Труд;Y477110421;Уровень занятости населения;CD;Республика Саха (Якутия);Регион;98000000;98000000;2002;65.8;По данным выборочных обследований рабочей силы, в процентах;До 2017 г. обследование проводилось в от;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Сельское, лесное хозяйство, рыболовство и рыбоводство;Y477110276;Основные показатели по виду экономической деятельности рыбол;CD;Тверская область;Регион;28000000;28000000;2007;159.0;Человек;Данные за 2005‒2016 гг. приведены в соот;Регионы России. Социально-экономические показатели 2025;v20260313;ok
Жилищные условия;Y477130054;Установленный уровень возмещения населением затрат по предос;Капитальный ремонт;Севастополь;Регион;67000000;67000000;2024;97.91745183179397;В процентах;CD;Социальное положение и уровень жизни населения России 2025;v20260313;ok
Государственные финансы;Y477180017;Исполнение бюджета пенсионного фонда Российской Федерации;Расходование;Смоленская область;Регион;66000000;66000000;2019;56942.827;Миллионов рублей;По данным Пенсионного фонда Российской Ф;Финансы в России 2022;v20260313;ok
Занятость, безработица и заработная плата;Y477020012;Средняя начисленная заработная плата женщин и мужчин за октя;Удельный вес женщин в общей численности работников, %;Республика Саха (Якутия);Регион;98000000;98000000;2023;44.70196585551579;ND;CD;Женщины и мужчины России 2024;v20260313;ok
Наука и инновации;Y477110235;Объем инновационных товаров, работ, услуг: В процентах от об;CD;Владимирская область;Регион;17000000;17000000;2002;5.1;В процентах;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Цены и тарифы;Y477110112;Индексы потребительских цен (тарифов) на услуги;CD;Северо-Кавказский федеральный округ;Федеральный округ;00000000;00000000;2011;108.5;Декабрь к декабрю предыдущего года, в процентах;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Земельные ресурсы и охрана окружающей природной среды;Y477110159;Использование свежей воды;CD;Брянская область;Регион;15000000;15000000;2008;115.0;Миллионов кубических метров;По данным Федерального агенства водных р;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Финансы;Y477110388;Средства (вклады) юридических и физических лиц в рублях, при;CD;Мурманская область;Регион;47000000;47000000;2017;141182.0;Исходя из места привлечения средств, на начало года, миллионов рублей;По данным Банка России;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Сельское, лесное хозяйство, рыболовство и рыбоводство;Y477110012;Валовой сбор сахарной свеклы;CD;Ставропольский край;Регион;07000000;07000000;2001;456.675;"В хозяйствах всех категорий, тысяч тонн; для значений в целом по России: млн т";CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Участие в рабочей силе, занятость и безработица;Y477170046;Численность занятых по месту основной работы;В том числе лица, у которых основная работа была: в сфере предпринима-тельской деятельности без образования юридического лица;Ненецкий автономный округ;Регион;11800000;11100000;2021;0.4032163665;Тысяч человек;"Включая фермеров; лиц, занятых на индиви";Труд и занятость в России 2023;v20260313;ok
Инвестиции в основной капитал;Y477050020;Распределение инвестиций в основной капитал по отдельными фо;В том числе: смешанная российская;Камчатский край;Регион;30000000;30000000;2017;7.4;В процентах от общего объема инвестиций в основной капитал;CD;Инвестиции в России 2023;v20260313;ok
Бытовые услуги;Y477080066;Показатели платных услуг по техническому обслуживанию и ремо;Индекс физического объема, в процентах к предыдущему году;Тамбовская область;Регион;68000000;68000000;2022;95.0;ND;CD;Платное обслуживание населения в России 2023;v20260313;ok
Занятые;Y477100017;Численность занятых по возрастным группам;В том числе в возрасте, лет: 60‒69;Республика Ингушетия;Регион;26000000;26000000;2021;11.117961805499991;ND;CD;Рабочая сила, занятость и безработица в России 2022;v20260313;ok
Внешняя торговля;Y477150040;Товарная структура экспорта и импорта;Древесина и целлюлозно-бумажные изделия: импорт;Архангельская область (с автономным округом);Регион;11000000;11000000;2021;1.7;В фактически действовавших ценах, миллионов долларов США;По данным ФТС России по организациям, за;Торговля в России 2023;v20260313;ok
Организации;Y477110062;Дебиторская задолженность организаций: Всего;CD;Курская область;Регион;38000000;38000000;2001;15449.0;На конец года, миллионов рублей;2000, 2001, 2002 гг. — без учета данных ;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Сельское, лесное хозяйство, рыболовство и рыбоводство;Y477110381;Средний годовой настриг шерсти с одной овцы в сельскохозяйст;CD;Удмуртская Республика;Регион;94000000;94000000;2022;0.9;В физическом весе, килограммов;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Инвестиции и финансовое состояние жилищно-коммунального хозяйства;Y477030058;Расходы консолидированных бюджетов субъектов Российской Феде;CD;Приволжский федеральный округ;Федеральный округ;00000000;00000000;2022;-99999999.0;"Миллионов рублей; для значений в целом по России: млрд. руб";По данным Федерального казначейства. В ц;Жилищное хозяйство в России 2025;v20260313;no_data
Культура, отдых и туризм;Y477110227;Общедоступные библиотеки: Библиотечный фонд на 1000 человек ;CD;Чукотский автономный округ;Регион;77000000;77000000;2006;16886.209438134298;На конец года, экземпляров;Расчет осуществлен на основе данных Минк;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Транспорт;Y477110295;Плотность автомобильных дорог общего пользования с твердым п;CD;Ханты-Мансийский автономный округ — Югра;Регион;71800000;71100000;2002;3.9;На конец года, км дорог на 1000 км2 территории;"По данным Росавтодора и Росстата; С 2006";Регионы России. Социально-экономические показатели 2024;v20260313;ok
Услуги учреждений культуры;Y477080033;Индексы физического объема платных услуг учреждений культуры;CD;Дальневосточный федеральный округ;Федеральный округ;00000000;00000000;2024;105.7;В процентах к предыдущему году;CD;Платное обслуживание населения в России 2025;v20260313;ok
Торговля и услуги населению;Y477110224;Оборот розничной торговли на душу населения;CD;Кемеровская область;Регион;32000000;32000000;2017;131401.40495806592;В фактически действовавших ценах, рублей;Данные за 2011‒2021 годы публикуются без;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Предприятия и организации;Y477110186;Итоги сплошных наблюдений: Число индивидуальных предпринимат;CD;Республика Татарстан;Регион;92000000;92000000;2015;73.7;Тысяч;Число индивидуальных предпринимателей, п;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Результаты инвестиционной деятельности;Y477050007;Ввод в действие мощностей амбулаторно-поликлинических органи;CD;Республика Мордовия;Регион;89000000;89000000;2019;543.0;Посещений в смену;CD;Инвестиции в России 2023;v20260313;ok
Уровень жизни населения;Y477110400;Структура потребительских расходов домашних хозяйств;Оплата услуг;Пензенская область;Регион;56000000;56000000;2007;24.5;По итогам выборочного обследования бюджетов домашних хозяйств, в процентах;Данные за 2012‒2022 годы публикуются без;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Уровень жизни населения;Y477110412;Удельный вес расходов домашних хозяйств на оплату жилищно-ко;CD;Астраханская область;Регион;12000000;12000000;2021;7.8;По итогам выборочного обследования бюджетов домашних хозяйств;Данные за 2011‒2023 годы публикуются без;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Уровень жизни населения;Y477110074;Жилищный фонд: Сельский жилищный фонд;CD;Камчатский край;Регион;30000000;30000000;2006;1.5912;Общая площадь жилых помещений, миллионов квадратных метров;В связи с отсутствием нормативно-правово;Регионы России. Социально-экономические показатели 2023;v20260313;ok
