indicator_code;indicator_name;section;primary_unit
Y477030076;Число многодетных семей, состоящих на учете в качестве нуждающихся в жилых помещениях и получивших жилые помещения и улучшивших жилищные условия;Реализация программ в сфере жилищно-коммунального хозяйства;Семей
Y477030077;Число многоквартирных домов, оборудованных приборами учета потребляемых коммунальных ресурсов, на конец года;Реализация программ в сфере жилищно-коммунального хозяйства;Единиц
Y477030078;Число молодых семей, состоящих на учете в качестве нуждающихся в жилых помещениях и получивших жилые помещения и улучшивших жилищные условия;Реализация программ в сфере жилищно-коммунального хозяйства;Семей
Y477030079;Число централизованных систем водоотведения (канализации);Жилищные условия населения;
Y477030080;Число централизованных систем водоснабжения;Жилищные условия населения;
Y477040001;Ввод в действие мощностей амбулаторно-поликлинических организаций;Основные экономические показатели здравоохранения;Посещений в смену
Y477040002;Ввод в действие мощностей амбулаторно-поликлинических организаций в сельской местности;Основные экономические показатели здравоохранения;Посещений в смену
Y477040003;Ввод в действие мощностей больничных организаций;Основные экономические показатели здравоохранения;Коек
Y477040004;Ввод в действие мощностей больничных организаций в сельской местности;Основные экономические показатели здравоохранения;Коек
Y477040005;Выплаты по договорам страхования, осуществленные страховыми организациями, по добровольному медицинскому страхованию;Основные экономические показатели здравоохранения;Тысяч рублей
Y477040006;Заболеваемость детей в возрасте 0‒14 лет по основным классам болезней;Состояние здоровья населения;Зарегистрировано заболеваний у пациентов с диагнозом, установленном впервые в жизни, на 1000 человек населения соответствующего возраста
Y477040007;Заболеваемость населения;Состояние здоровья населения;Зарегистрировано заболеваний у пациентов с диагнозом, установленным впервые в жизни, на 1000 человек населения
Y477040008;Заболеваемость населения отдельными инфекционными болезнями;Состояние здоровья населения;Число зарегистрированных случаев заболевания, на 100 000 человек населения
Y477040009;Заболеваемость населения по основным классам болезней;Состояние здоровья населения;Зарегистрировано заболеваний у пациентов с диагнозом, установленным впервые в жизни, на 1000 человек населения
Y477040010;Заболеваемость населения социально значимыми болезнями;Состояние здоровья населения;
Y477040011;Заболеваемость подростков в возрасте 15‒17 лет по основным классам болезней;Состояние здоровья населения;Зарегистрировано заболеваний у пациентов с диагнозом, установленным впервые в жизни, на 1000 человек населения соответствующего возраста
Y477040012;Заболевания, осложнившие роды и послеродовой период;Состояние здоровья населения;На 1000 родов
Y477040013;Инвестиции в основной капитал, направленные на развитие здравоохранения;Основные экономические показатели здравоохранения;Фактически действовавших ценах, миллионов рублей
Y477040014;Контингенты пациентов с алкоголизмом и алкогольными психозами по субъктам Российской Федерации;Состояние здоровья населения;Численность пациентов, состоящих на учете в лечебно-профилактических организациях, на конец года
Y477040015;Контингенты пациентов с диагнозом сифилиса;Состояние здоровья населения;Численность пациентов, состоящих на учете в лечебно-профилактических организациях, на конец года
Y477040016;Контингенты пациентов с наркоманией;Состояние здоровья населения;Численность пациентов, состоящих на учете в лечебно-профилактических организациях, на конец года
Y477040017;Контингенты пациентов с психическими расстройствами и расстройствами поведения;Состояние здоровья населения;Численность пациентов, состоящих на учете в лечебно-профилактических организациях, на конец года
Y477040018;Контингенты пациентов с токсикоманией;Состояние здоровья населения;Численность пациентов, находящихся под наблюдением психиатра-нарколога, на конец года
Y477040019;Контингенты пациентов со злокачественными новообразованиями;Состояние здоровья населения;Численность пациентов, состоящих на учете в лечебно-профилактических организациях, на конец года
Y477040020;Медицинские организации и подразделения, осуществляющие профилактическую работу среди населения, на 31 декабря;Ресурсы и деятельность организаций здравоохранения;
Y477040021;Мощность амбулаторно-поликлинических организаций;Ресурсы и деятельность организаций здравоохранения;Тысяч посещений в смену
Y477040022;Мощность амбулаторно-поликлинических организаций на 10000 человек населения;Ресурсы и деятельность организаций здравоохранения;Число посещений в смену
Y477040023;Обеспеченность населения питьевой водой, отвечающей обязательным требованиям безопасности;Условия жизни населения;
Y477040024;Общая численность инвалидов;Состояние здоровья населения;На 1 января
Y477040025;Поступление и расходование средств Территориальных фондов обязательного медицинского страхования;Основные экономические показатели здравоохранения;Миллионов рублей
Y477040026;Прерывание беременности (аборты);Состояние здоровья населения;
